batter_id,batter,pitches_in_zone,swings_in_zone,whiffs_in_zone,pitches_out_zone,swings_out_zone,whiffs_out_zone,pitches,swings,whiffs,swing_rate,whiff_rate,sw_str_rate,z_rate,z_swing_rate,z_whiff_rate,o_rate,o_swing_rate,o_whiff_rate
668577,Osmy Gregorio,539,362,75,504,149,54,1043,511,129,0.4899328859060403,0.25244618395303325,0.1236816874400767,0.5167785234899329,0.6716141001855288,0.20718232044198895,0.48322147651006714,0.29563492063492064,0.3624161073825503
668756,Ben Ramirez,894,578,151,1108,371,130,2002,949,281,0.474025974025974,0.29610115911485774,0.14035964035964035,0.44655344655344653,0.6465324384787472,0.26124567474048443,0.5534465534465535,0.3348375451263538,0.3504043126684636
668769,Cam Williams,146,117,36,135,62,35,281,179,71,0.6370106761565836,0.39664804469273746,0.2526690391459075,0.5195729537366548,0.8013698630136986,0.3076923076923077,0.4804270462633452,0.45925925925925926,0.5645161290322581
668776,Devin Ortiz,77,57,16,111,35,18,188,92,34,0.48936170212765956,0.3695652173913043,0.18085106382978725,0.4095744680851064,0.7402597402597403,0.2807017543859649,0.5904255319148937,0.3153153153153153,0.5142857142857142
668787,Bryce Ball,262,171,46,277,73,27,539,244,73,0.45269016697588127,0.29918032786885246,0.13543599257884972,0.48608534322820035,0.6526717557251909,0.26900584795321636,0.5139146567717996,0.26353790613718414,0.3698630136986301
668794,Straton Podaras,41,22,7,33,9,7,74,31,14,0.4189189189189189,0.45161290322580644,0.1891891891891892,0.5540540540540541,0.5365853658536586,0.3181818181818182,0.44594594594594594,0.2727272727272727,0.7777777777777778
668824,Logan Wyatt,401,238,64,509,148,34,910,386,98,0.42417582417582417,0.2538860103626943,0.1076923076923077,0.44065934065934065,0.5935162094763092,0.2689075630252101,0.5593406593406594,0.2907662082514735,0.22972972972972974
668860,Kale Emshoff,638,454,144,710,240,107,1348,694,251,0.5148367952522255,0.361671469740634,0.18620178041543026,0.4732937685459941,0.7115987460815048,0.31718061674008813,0.526706231454006,0.3380281690140845,0.44583333333333336
668882,Mikey Perez,61,40,10,100,29,10,161,69,20,0.42857142857142855,0.2898550724637681,0.12422360248447205,0.37888198757763975,0.6557377049180327,0.25,0.6211180124223602,0.29,0.3448275862068966
668883,Steven Williams,22,10,1,26,3,1,48,13,2,0.2708333333333333,0.15384615384615385,0.041666666666666664,0.4583333333333333,0.45454545454545453,0.1,0.5416666666666666,0.11538461538461539,0.3333333333333333
668952,Ryan Kreidler,25,17,3,51,20,10,76,37,13,0.4868421052631579,0.35135135135135137,0.17105263157894737,0.32894736842105265,0.68,0.17647058823529413,0.6710526315789473,0.39215686274509803,0.5
668993,Justin Farmer,385,272,74,596,179,64,981,451,138,0.4597349643221203,0.30598669623059865,0.14067278287461774,0.3924566768603466,0.7064935064935065,0.27205882352941174,0.6075433231396534,0.30033557046979864,0.3575418994413408
669010,Elijah Cabell,214,137,56,324,105,72,538,242,128,0.44981412639405205,0.5289256198347108,0.2379182156133829,0.39776951672862454,0.6401869158878505,0.40875912408759124,0.6022304832713755,0.32407407407407407,0.6857142857142857
669013,Gary Mattis,265,208,53,407,177,83,672,385,136,0.5729166666666666,0.35324675324675325,0.20238095238095238,0.3943452380952381,0.7849056603773585,0.2548076923076923,0.6056547619047619,0.4348894348894349,0.4689265536723164
669015,Caberea Weaver,327,228,66,449,174,86,776,402,152,0.5180412371134021,0.3781094527363184,0.1958762886597938,0.4213917525773196,0.6972477064220184,0.2894736842105263,0.5786082474226805,0.38752783964365256,0.4942528735632184
669023,Jeter Downs,15,2,0,42,14,7,57,16,7,0.2807017543859649,0.4375,0.12280701754385964,0.2631578947368421,0.13333333333333333,0.0,0.7368421052631579,0.3333333333333333,0.5
669065,Kyle Stowers,23,15,2,43,27,5,66,42,7,0.6363636363636364,0.16666666666666666,0.10606060606060606,0.3484848484848485,0.6521739130434783,0.13333333333333333,0.6515151515151515,0.627906976744186,0.18518518518518517
